month,revenue,marketing_spend,new_customers,operating_costs,cash_balance
2024-01,120000,20000,180,70000,350000
2024-02,130000,22000,190,72000,336000
2024-03,138000,23000,200,74000,327000
2024-04,142000,24000,205,76000,319000
2024-05,140000,25000,0,78000,306000
2024-06,148000,26000,215,79000,299000
2024-07,155000,27000,225,81000,296000
2024-08,162000,28000,235,83000,295000
2024-09,170000,30000,250,85000,292000
2024-10,178000,32000,265,87000,289000
2024-11,185000,34000,275,89000,285000
2024-12,192000,36000,290,91000,280000
